timestamp,ticker,strike_price,result,final_yes_price,final_no_price
2026-03-05T22:45:05.591669+00:00,KXSOL15M-26MAR051730-30,89.0805,no,100,100
2026-03-05T22:45:05.593839+00:00,KXSOL15M-26MAR051730-30,89.0805,no,100,100
2026-03-05T22:45:05.594011+00:00,KXSOL15M-26MAR051715-15,89.1282,no,100,100
2026-03-05T22:45:05.594435+00:00,KXSOL15M-26MAR051715-15,89.1282,no,100,100
2026-03-05T22:45:05.594762+00:00,KXSOL15M-26MAR051700-00,89.1147,yes,100,100
2026-03-05T22:45:05.595006+00:00,KXSOL15M-26MAR051645-45,89.761,no,100,100
2026-03-05T22:45:05.595178+00:00,KXSOL15M-26MAR051700-00,89.1147,yes,100,100
2026-03-05T22:45:05.595354+00:00,KXSOL15M-26MAR051630-30,89.3955,yes,100,100
2026-03-05T22:45:05.595730+00:00,KXSOL15M-26MAR051615-15,89.2582,yes,100,100
2026-03-05T22:45:05.595696+00:00,KXSOL15M-26MAR051645-45,89.761,no,100,100
2026-03-05T22:45:05.595819+00:00,KXSOL15M-26MAR051600-00,89.2308,yes,100,100
2026-03-05T22:45:05.595991+00:00,KXSOL15M-26MAR051630-30,89.3955,yes,100,100
2026-03-05T22:45:05.595967+00:00,KXSOL15M-26MAR051545-45,89.2255,yes,100,100
2026-03-05T22:45:05.596138+00:00,KXSOL15M-26MAR051530-30,89.0537,yes,100,100
2026-03-05T22:45:05.596162+00:00,KXSOL15M-26MAR051615-15,89.2582,yes,100,100
2026-03-05T22:45:05.596269+00:00,KXSOL15M-26MAR051515-15,88.7818,yes,100,100
2026-03-05T22:45:05.596326+00:00,KXSOL15M-26MAR051500-00,88.9585,no,100,100
2026-03-05T22:45:05.596441+00:00,KXSOL15M-26MAR051445-45,88.9947,no,100,100
2026-03-05T22:45:05.596418+00:00,KXSOL15M-26MAR051600-00,89.2308,yes,100,100
2026-03-05T22:45:05.596504+00:00,KXSOL15M-26MAR051430-30,89.2912,no,100,100
2026-03-05T22:45:05.596583+00:00,KXSOL15M-26MAR051545-45,89.2255,yes,100,100
2026-03-05T22:45:05.596776+00:00,KXSOL15M-26MAR051415-15,88.8068,yes,100,100
2026-03-05T22:45:05.596741+00:00,KXSOL15M-26MAR051530-30,89.0537,yes,100,100
2026-03-05T22:45:05.596944+00:00,KXSOL15M-26MAR051400-00,88.7005,yes,100,100
2026-03-05T22:45:05.597125+00:00,KXSOL15M-26MAR051345-45,88.1908,yes,100,100
2026-03-05T22:45:05.597065+00:00,KXSOL15M-26MAR051515-15,88.7818,yes,100,100
2026-03-05T22:45:05.597298+00:00,KXSOL15M-26MAR051500-00,88.9585,no,100,100
2026-03-05T22:45:05.597248+00:00,KXSOL15M-26MAR051330-30,88.378,no,100,100
2026-03-05T22:45:05.597357+00:00,KXSOL15M-26MAR051445-45,88.9947,no,100,100
2026-03-05T22:45:05.597515+00:00,KXSOL15M-26MAR051430-30,89.2912,no,100,100
2026-03-05T22:45:05.597576+00:00,KXSOL15M-26MAR051315-15,88.1555,yes,100,100
2026-03-05T22:45:05.597707+00:00,KXSOL15M-26MAR051415-15,88.8068,yes,100,100
2026-03-05T22:45:05.597830+00:00,KXSOL15M-26MAR051400-00,88.7005,yes,100,100
2026-03-05T22:45:05.597805+00:00,KXSOL15M-26MAR051300-00,88.3888,no,100,100
2026-03-05T22:45:05.597963+00:00,KXSOL15M-26MAR051245-45,88.493,no,100,100
2026-03-05T22:45:05.597991+00:00,KXSOL15M-26MAR051345-45,88.1908,yes,100,100
2026-03-05T22:45:05.598111+00:00,KXSOL15M-26MAR051330-30,88.378,no,100,100
2026-03-05T22:45:05.599105+00:00,KXSOL15M-26MAR051315-15,88.1555,yes,100,100
2026-03-05T22:45:05.599154+00:00,KXSOL15M-26MAR051300-00,88.3888,no,100,100
2026-03-05T22:45:05.599198+00:00,KXSOL15M-26MAR051245-45,88.493,no,100,100
2026-03-05T22:46:43.608284+00:00,KXSOL15M-26MAR051745-45,89.0023,yes,100,100
2026-03-05T22:46:44.175816+00:00,KXSOL15M-26MAR051745-45,89.0023,yes,100,100
2026-03-05T22:46:44.334050+00:00,KXSOL15M-26MAR051745-45,89.0023,yes,100,100
2026-03-05T22:46:44.390133+00:00,KXSOL15M-26MAR051745-45,89.0023,yes,100,100
2026-03-05T23:01:40.257652+00:00,KXSOL15M-26MAR051800-00,89.2353,no,100,100
2026-03-05T23:16:21.373263+00:00,KXSOL15M-26MAR051815-15,89.1613,no,100,100
2026-03-05T23:31:45.011903+00:00,KXSOL15M-26MAR051830-30,89.0027,yes,100,100
2026-03-05T23:46:26.870009+00:00,KXSOL15M-26MAR051845-45,89.1665,no,100,100
2026-03-06T00:01:35.228960+00:00,KXSOL15M-26MAR051900-00,88.831,no,100,100
2026-03-06T00:16:34.157021+00:00,KXSOL15M-26MAR051915-15,88.7487,yes,100,100
2026-03-06T00:31:22.585595+00:00,KXSOL15M-26MAR051930-30,89.014,no,100,100
2026-03-06T00:47:01.713030+00:00,KXSOL15M-26MAR051945-45,88.8577,no,100,100
2026-03-06T01:01:43.406086+00:00,KXSOL15M-26MAR052000-00,88.796,yes,100,100
2026-03-06T01:16:29.851053+00:00,KXSOL15M-26MAR052015-15,88.7985,no,100,100
2026-03-06T01:31:29.088340+00:00,KXSOL15M-26MAR052030-30,88.6337,no,100,100
2026-03-06T01:46:36.231341+00:00,KXSOL15M-26MAR052045-45,88.1542,yes,100,100
2026-03-06T02:02:04.917709+00:00,KXSOL15M-26MAR052100-00,89.1615,no,100,100
2026-03-06T02:16:47.774452+00:00,KXSOL15M-26MAR052115-15,89.15,yes,100,1
2026-03-06T02:31:19.925149+00:00,KXSOL15M-26MAR052130-30,89.259,no,1,100
2026-03-06T02:46:47.964422+00:00,KXSOL15M-26MAR052145-45,88.5855,yes,100,1
2026-03-06T03:01:30.845265+00:00,KXSOL15M-26MAR052200-00,88.7085,no,1,100
2026-03-06T03:16:45.724958+00:00,KXSOL15M-26MAR052215-15,88.389,no,1,100
2026-03-06T03:31:22.771881+00:00,KXSOL15M-26MAR052230-30,88.2595,yes,100,1
2026-03-06T03:46:37.116214+00:00,KXSOL15M-26MAR052245-45,88.5205,no,1,100
2026-03-06T04:01:28.140093+00:00,KXSOL15M-26MAR052300-00,88.4045,yes,100,1
2026-03-06T04:16:51.802205+00:00,KXSOL15M-26MAR052315-15,88.4362,no,1,100
2026-03-06T04:31:49.577961+00:00,KXSOL15M-26MAR052330-30,88.3667,yes,100,1
2026-03-06T04:46:42.388477+00:00,KXSOL15M-26MAR052345-45,88.4547,no,1,100
2026-03-06T05:01:49.417986+00:00,KXSOL15M-26MAR060000-00,88.0615,yes,100,100
