timestamp,ticker,strike_price,result,final_yes_price,final_no_price
2026-03-05T22:45:09.500853+00:00,KXETH15M-26MAR051730-30,2079.83,yes,100,100
2026-03-05T22:45:09.501202+00:00,KXETH15M-26MAR051715-15,2080.489999,no,100,100
2026-03-05T22:45:09.501247+00:00,KXETH15M-26MAR051700-00,2081.5,no,100,100
2026-03-05T22:45:09.501271+00:00,KXETH15M-26MAR051645-45,2093.21,no,100,100
2026-03-05T22:45:09.501297+00:00,KXETH15M-26MAR051630-30,2093.87,no,100,100
2026-03-05T22:45:09.501327+00:00,KXETH15M-26MAR051615-15,2094.9,no,100,100
2026-03-05T22:45:09.501356+00:00,KXETH15M-26MAR051600-00,2088.04,yes,100,100
2026-03-05T22:45:09.501381+00:00,KXETH15M-26MAR051545-45,2087.75,yes,100,100
2026-03-05T22:45:09.501405+00:00,KXETH15M-26MAR051530-30,2079.949999,yes,100,100
2026-03-05T22:45:09.501441+00:00,KXETH15M-26MAR051515-15,2074.94,yes,100,100
2026-03-05T22:45:09.501469+00:00,KXETH15M-26MAR051500-00,2078.8,no,100,100
2026-03-05T22:45:09.501496+00:00,KXETH15M-26MAR051445-45,2078.6,yes,100,100
2026-03-05T22:45:09.501526+00:00,KXETH15M-26MAR051430-30,2088.679999,no,100,100
2026-03-05T22:45:09.501553+00:00,KXETH15M-26MAR051415-15,2076.37,yes,100,100
2026-03-05T22:45:09.501580+00:00,KXETH15M-26MAR051400-00,2075.739999,yes,100,100
2026-03-05T22:45:09.501606+00:00,KXETH15M-26MAR051345-45,2067.12,yes,100,100
2026-03-05T22:45:09.501632+00:00,KXETH15M-26MAR051330-30,2070.08,no,100,100
2026-03-05T22:45:09.501658+00:00,KXETH15M-26MAR051315-15,2060.159999,yes,100,100
2026-03-05T22:45:09.501693+00:00,KXETH15M-26MAR051300-00,2067.71,no,100,100
2026-03-05T22:45:09.501741+00:00,KXETH15M-26MAR051245-45,2071.38,no,100,100
2026-03-05T22:45:09.522022+00:00,KXETH15M-26MAR051730-30,2079.83,yes,100,100
2026-03-05T22:45:09.522418+00:00,KXETH15M-26MAR051715-15,2080.489999,no,100,100
2026-03-05T22:45:09.522598+00:00,KXETH15M-26MAR051700-00,2081.5,no,100,100
2026-03-05T22:45:09.522654+00:00,KXETH15M-26MAR051645-45,2093.21,no,100,100
2026-03-05T22:45:09.522687+00:00,KXETH15M-26MAR051630-30,2093.87,no,100,100
2026-03-05T22:45:09.522716+00:00,KXETH15M-26MAR051615-15,2094.9,no,100,100
2026-03-05T22:45:09.522749+00:00,KXETH15M-26MAR051600-00,2088.04,yes,100,100
2026-03-05T22:45:09.522784+00:00,KXETH15M-26MAR051545-45,2087.75,yes,100,100
2026-03-05T22:45:09.522818+00:00,KXETH15M-26MAR051530-30,2079.949999,yes,100,100
2026-03-05T22:45:09.522846+00:00,KXETH15M-26MAR051515-15,2074.94,yes,100,100
2026-03-05T22:45:09.522873+00:00,KXETH15M-26MAR051500-00,2078.8,no,100,100
2026-03-05T22:45:09.522901+00:00,KXETH15M-26MAR051445-45,2078.6,yes,100,100
2026-03-05T22:45:09.522928+00:00,KXETH15M-26MAR051430-30,2088.679999,no,100,100
2026-03-05T22:45:09.522956+00:00,KXETH15M-26MAR051415-15,2076.37,yes,100,100
2026-03-05T22:45:09.522983+00:00,KXETH15M-26MAR051400-00,2075.739999,yes,100,100
2026-03-05T22:45:09.523010+00:00,KXETH15M-26MAR051345-45,2067.12,yes,100,100
2026-03-05T22:45:09.523038+00:00,KXETH15M-26MAR051330-30,2070.08,no,100,100
2026-03-05T22:45:09.523202+00:00,KXETH15M-26MAR051315-15,2060.159999,yes,100,100
2026-03-05T22:45:09.523263+00:00,KXETH15M-26MAR051300-00,2067.71,no,100,100
2026-03-05T22:45:09.523294+00:00,KXETH15M-26MAR051245-45,2071.38,no,100,100
2026-03-05T22:45:09.590012+00:00,KXETH15M-26MAR051730-30,2079.83,yes,100,100
2026-03-05T22:45:09.590461+00:00,KXETH15M-26MAR051715-15,2080.489999,no,100,100
2026-03-05T22:45:09.590526+00:00,KXETH15M-26MAR051700-00,2081.5,no,100,100
2026-03-05T22:45:09.590568+00:00,KXETH15M-26MAR051645-45,2093.21,no,100,100
2026-03-05T22:45:09.590604+00:00,KXETH15M-26MAR051630-30,2093.87,no,100,100
2026-03-05T22:45:09.590632+00:00,KXETH15M-26MAR051615-15,2094.9,no,100,100
