timestamp,ticker,strike_price,result,final_yes_price,final_no_price
2026-03-05T22:45:05.843996+00:00,KXXRP15M-26MAR051730-30,1.4041,yes,100,100
2026-03-05T22:45:05.844335+00:00,KXXRP15M-26MAR051715-15,1.4073,no,100,100
2026-03-05T22:45:05.844648+00:00,KXXRP15M-26MAR051700-00,1.4073,yes,100,100
2026-03-05T22:45:05.845425+00:00,KXXRP15M-26MAR051645-45,1.4181,no,100,100
2026-03-05T22:45:05.845528+00:00,KXXRP15M-26MAR051630-30,1.4156,yes,100,100
2026-03-05T22:45:05.845588+00:00,KXXRP15M-26MAR051615-15,1.4168,no,100,100
2026-03-05T22:45:05.845633+00:00,KXXRP15M-26MAR051600-00,1.4172,no,100,100
2026-03-05T22:45:05.845674+00:00,KXXRP15M-26MAR051545-45,1.4163,yes,100,100
2026-03-05T22:45:05.845723+00:00,KXXRP15M-26MAR051530-30,1.4133,yes,100,100
2026-03-05T22:45:05.845769+00:00,KXXRP15M-26MAR051515-15,1.4116,yes,100,100
2026-03-05T22:45:05.845808+00:00,KXXRP15M-26MAR051500-00,1.4172,no,100,100
2026-03-05T22:45:05.845845+00:00,KXXRP15M-26MAR051445-45,1.4158,yes,100,100
2026-03-05T22:45:05.845883+00:00,KXXRP15M-26MAR051430-30,1.4197,no,100,100
2026-03-05T22:45:05.845920+00:00,KXXRP15M-26MAR051415-15,1.4099,yes,100,100
2026-03-05T22:45:05.845958+00:00,KXXRP15M-26MAR051400-00,1.4068,yes,100,100
2026-03-05T22:45:05.845996+00:00,KXXRP15M-26MAR051345-45,1.4018,yes,100,100
2026-03-05T22:45:05.846032+00:00,KXXRP15M-26MAR051330-30,1.4026,no,100,100
2026-03-05T22:45:05.846070+00:00,KXXRP15M-26MAR051315-15,1.3999,yes,100,100
2026-03-05T22:45:05.846107+00:00,KXXRP15M-26MAR051300-00,1.4038,no,100,100
2026-03-05T22:45:05.846146+00:00,KXXRP15M-26MAR051245-45,1.4051,no,100,100
2026-03-05T22:45:05.848313+00:00,KXXRP15M-26MAR051730-30,1.4041,yes,100,100
2026-03-05T22:45:05.848850+00:00,KXXRP15M-26MAR051715-15,1.4073,no,100,100
2026-03-05T22:45:05.850257+00:00,KXXRP15M-26MAR051700-00,1.4073,yes,100,100
2026-03-05T22:45:05.850354+00:00,KXXRP15M-26MAR051645-45,1.4181,no,100,100
2026-03-05T22:45:05.850403+00:00,KXXRP15M-26MAR051630-30,1.4156,yes,100,100
2026-03-05T22:45:05.850439+00:00,KXXRP15M-26MAR051615-15,1.4168,no,100,100
2026-03-05T22:45:05.850480+00:00,KXXRP15M-26MAR051600-00,1.4172,no,100,100
2026-03-05T22:45:05.850599+00:00,KXXRP15M-26MAR051545-45,1.4163,yes,100,100
2026-03-05T22:45:05.850635+00:00,KXXRP15M-26MAR051530-30,1.4133,yes,100,100
2026-03-05T22:45:05.850669+00:00,KXXRP15M-26MAR051515-15,1.4116,yes,100,100
2026-03-05T22:45:05.850704+00:00,KXXRP15M-26MAR051500-00,1.4172,no,100,100
2026-03-05T22:45:05.850737+00:00,KXXRP15M-26MAR051445-45,1.4158,yes,100,100
2026-03-05T22:45:05.850771+00:00,KXXRP15M-26MAR051430-30,1.4197,no,100,100
2026-03-05T22:45:05.850806+00:00,KXXRP15M-26MAR051415-15,1.4099,yes,100,100
2026-03-05T22:45:05.850840+00:00,KXXRP15M-26MAR051400-00,1.4068,yes,100,100
2026-03-05T22:45:05.850874+00:00,KXXRP15M-26MAR051345-45,1.4018,yes,100,100
